Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.20,10.0.0.29,16,2960,8,1480,8,1480,10.39608063,3.158695111,3748.383299,3748.383299,Low
10.0.0.20,10.0.0.28,16,2960,8,1480,8,1480,10.39608375,2.810278973,4213.10486,4213.10486,Low
10.0.0.20,10.0.0.30,16,2960,8,1480,8,1480,10.39608666,3.435219648,3446.650058,3446.650058,Low
10.0.0.20,10.0.0.42,16,2960,8,1480,8,1480,10.48162459,6.720909363,1761.66637,1761.66637,Low
10.0.0.20,10.0.0.43,16,2960,8,1480,8,1480,10.48163009,7.087294971,1670.595065,1670.595065,Low
10.0.0.20,10.0.0.44,16,2960,8,1480,8,1480,10.48163474,7.393312182,1601.447323,1601.447323,Low
10.0.0.20,10.0.0.37,16,2960,8,1480,8,1480,10.48163952,5.548531263,2133.898042,2133.898042,Low
10.0.0.20,10.0.0.35,16,2960,8,1480,8,1480,10.48165769,4.881755742,2425.356906,2425.356906,Low
10.0.0.20,10.0.0.34,16,2960,8,1480,8,1480,10.48166308,4.598420825,2574.796968,2574.796968,Low
10.0.0.20,10.0.0.41,16,2960,8,1480,8,1480,10.48166684,6.523111113,1815.084826,1815.084826,Low
10.0.0.20,10.0.0.38,16,2960,8,1480,8,1480,10.48166988,5.660020341,2091.865274,2091.865274,Low
10.0.0.20,10.0.0.39,16,2960,8,1480,8,1480,10.48167294,6.269002905,1888.657603,1888.657603,Low
10.0.0.20,10.0.0.36,16,2960,8,1480,8,1480,10.48167607,5.394287381,2194.914576,2194.914576,Low
10.0.0.20,10.0.0.40,16,2960,8,1480,8,1480,10.48169609,6.289529222,1882.493837,1882.493837,Low
10.0.0.20,10.0.0.31,16,2960,8,1480,8,1480,10.49375012,3.444716111,3437.148264,3437.148264,Low
10.0.0.20,10.0.0.32,16,2960,8,1480,8,1480,10.49375313,4.08691837,2897.048321,2897.048321,Low
10.0.0.20,10.0.0.33,16,2960,8,1480,8,1480,10.49375617,4.377702111,2704.615275,2704.615275,Low
10.0.0.20,10.0.0.45,16,2960,8,1480,8,1480,10.49867048,7.469968655,1585.013344,1585.013344,Low
10.0.0.20,10.0.0.47,16,2960,8,1480,8,1480,10.49867356,8.170946277,1449.036574,1449.036574,Low
10.0.0.20,10.0.0.46,16,2960,8,1480,8,1480,10.49867648,7.850664499,1508.15259,1508.15259,Low
10.0.0.20,10.0.0.49,16,2960,8,1480,8,1480,10.49867969,9.035946906,1310.321998,1310.321998,Low
10.0.0.20,10.0.0.48,16,2960,8,1480,8,1480,10.49868275,8.61934265,1373.654637,1373.654637,Low
10.0.0.21,10.0.0.22,8,1480,4,740,4,740,10.49866405,0.260153074,22755.83336,22755.83336,Low
10.0.0.21,10.0.0.23,8,1480,4,740,4,740,10.57499785,0.762494003,7763.995489,7763.995489,Low
10.0.0.21,10.0.0.24,8,1480,4,740,4,740,10.57500151,1.109201831,5337.171139,5337.171139,Low
10.0.0.21,10.0.0.25,8,1480,4,740,4,740,10.57500882,1.386961591,4268.322957,4268.322957,Low
10.0.0.21,10.0.0.26,16,2960,8,1480,8,1480,10.630124,1.875016434,6314.61132,6314.61132,Low
10.0.0.21,10.0.0.28,16,2960,8,1480,8,1480,10.67174672,2.53463385,4671.28615,4671.28615,Low
10.0.0.21,10.0.0.27,16,2960,8,1480,8,1480,10.67225963,2.164484137,5470.125559,5470.125559,Low
10.0.0.21,10.0.0.30,16,2960,8,1480,8,1480,10.67441231,3.156908399,3750.504767,3750.504767,Low
10.0.0.21,10.0.0.31,16,2960,8,1480,8,1480,10.6789331,3.259540457,3632.41388,3632.41388,Low
10.0.0.21,10.0.0.32,16,2960,8,1480,8,1480,10.6789803,3.90169971,3034.574898,3034.574898,Low
10.0.0.21,10.0.0.29,16,2960,8,1480,8,1480,10.67898456,2.912368308,4065.419874,4065.419874,Low
10.0.0.21,10.0.0.33,16,2960,8,1480,8,1480,10.67898896,4.192522934,2824.07519,2824.07519,Low
10.0.0.21,10.0.0.34,16,2960,8,1480,8,1480,10.69820783,4.381885203,2702.03336,2702.03336,Low
10.0.0.21,10.0.0.35,16,2960,8,1480,8,1480,10.6982108,4.717842018,2509.621974,2509.621974,Low
10.0.0.21,10.0.0.36,16,2960,8,1480,8,1480,10.69821425,5.177790653,2286.689593,2286.689593,Low
10.0.0.21,10.0.0.37,16,2960,8,1480,8,1480,10.69821784,5.394205644,2194.947835,2194.947835,Low
10.0.0.21,10.0.0.38,16,2960,8,1480,8,1480,10.69822418,5.452632488,2171.428209,2171.428209,Low
10.0.0.21,10.0.0.39,16,2960,8,1480,8,1480,10.7587761,5.991915332,1975.995878,1975.995878,Low
10.0.0.21,10.0.0.40,16,2960,8,1480,8,1480,10.75878281,6.116312341,1935.80696,1935.80696,Low
10.0.0.21,10.0.0.44,16,2960,8,1480,8,1480,10.89154277,6.983420637,1695.444198,1695.444198,Low
10.0.0.21,10.0.0.42,16,2960,8,1480,8,1480,10.8915456,6.311050661,1876.074308,1876.074308,Low
10.0.0.21,10.0.0.43,16,2960,8,1480,8,1480,10.8915483,6.756985079,1752.260788,1752.260788,Low
10.0.0.21,10.0.0.47,16,2960,8,1480,8,1480,10.8915564,7.778038349,1522.234716,1522.234716,Low
10.0.0.21,10.0.0.46,16,2960,8,1480,8,1480,10.89156007,7.457803204,1587.598878,1587.598878,Low
10.0.0.21,10.0.0.49,16,2960,8,1480,8,1480,10.89156298,8.643053938,1369.886163,1369.886163,Low
10.0.0.21,10.0.0.45,16,2960,8,1480,8,1480,10.89156572,7.0770823,1673.005837,1673.005837,Low
10.0.0.21,10.0.0.48,16,2960,8,1480,8,1480,10.8915688,8.22647699,1439.255226,1439.255226,Low
