Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.18,10.0.0.38,16,2960,8,1480,8,1480,9.855024321,12.30876369,961.9162654,961.9162654,
10.0.0.18,10.0.0.49,16,2960,8,1480,8,1480,11.72327279,17.59791224,672.807083,672.807083,
10.0.0.18,10.0.0.30,16,2960,8,1480,8,1480,12.7733141,5.809098964,2038.181837,2038.181837,
10.0.0.18,10.0.0.35,16,2960,8,1480,8,1480,12.8609492,0.365076498,32431.55904,32431.55904,
10.0.0.18,10.0.0.23,8,1480,4,740,4,740,12.9974169,0.992353983,5965.61318,5965.61318,
10.0.0.18,10.0.0.15,16,2960,8,1480,8,1480,14.39381529,22.98825305,515.0456617,515.0456617,
10.0.0.18,10.0.0.46,16,2960,8,1480,8,1480,14.85113998,0.933384097,12685.02435,12685.02435,
10.0.0.18,10.0.0.29,16,2960,8,1480,8,1480,15.14284283,4.835960032,2448.324618,2448.324618,
10.0.0.18,10.0.0.17,16,2960,8,1480,8,1480,16.16650334,7.409137359,1598.026791,1598.026791,
10.0.0.18,10.0.0.31,16,2960,8,1480,8,1480,16.7751735,7.66527171,1544.628873,1544.628873,
10.0.0.18,10.0.0.19,8,1480,4,740,4,740,17.517549,5.449179792,1086.402032,1086.402032,
10.0.0.18,10.0.0.25,8,1480,4,740,4,740,18.47930188,17.05283538,347.1563449,347.1563449,
10.0.0.18,10.0.0.39,16,2960,8,1480,8,1480,19.56535088,19.40173874,610.2545839,610.2545839,
10.0.0.18,10.0.0.21,8,1480,4,740,4,740,20.46023179,2.343198227,2526.461454,2526.461454,
10.0.0.18,10.0.0.13,16,2960,8,1480,8,1480,21.2746238,14.69660743,805.6281055,805.6281055,
10.0.0.18,10.0.0.16,16,2960,8,1480,8,1480,21.85979126,15.98142502,740.8600915,740.8600915,
10.0.0.18,10.0.0.27,16,2960,8,1480,8,1480,21.88896068,17.68790903,669.3838134,669.3838134,
10.0.0.18,10.0.0.11,16,2960,8,1480,8,1480,24.02096542,1.393422598,8497.063286,8497.063286,
10.0.0.18,10.0.0.37,16,2960,8,1480,8,1480,26.72272152,2.13205274,5553.333545,5553.333545,
10.0.0.18,10.0.0.26,16,2960,8,1480,8,1480,28.58139026,6.716834506,1762.735108,1762.735108,
10.0.0.18,10.0.0.43,16,2960,8,1480,8,1480,30.24317021,4.815073289,2458.944919,2458.944919,
10.0.0.19,10.0.0.46,16,2960,8,1480,8,1480,6.829239776,24.13061521,490.662998,490.662998,
10.0.0.19,10.0.0.32,16,2960,8,1480,8,1480,6.830352763,1.878562975,6302.689959,6302.689959,
10.0.0.19,10.0.0.36,16,2960,8,1480,8,1480,10.30333738,10.46581593,1131.302144,1131.302144,
10.0.0.19,10.0.0.29,16,2960,8,1480,8,1480,12.33283681,11.5803644,1022.42033,1022.42033,
10.0.0.19,10.0.0.27,16,2960,8,1480,8,1480,12.67291825,13.18987976,897.6579175,897.6579175,
10.0.0.19,10.0.0.48,16,2960,8,1480,8,1480,13.22663202,25.65078323,461.5843459,461.5843459,
10.0.0.19,10.0.0.12,16,2960,8,1480,8,1480,13.53973859,14.76271346,802.020579,802.020579,
10.0.0.19,10.0.0.22,8,1480,4,740,4,740,16.11768681,7.178044961,824.7371021,824.7371021,
10.0.0.19,10.0.0.11,16,2960,8,1480,8,1480,17.99998938,6.061983691,1953.15603,1953.15603,
10.0.0.19,10.0.0.40,16,2960,8,1480,8,1480,18.11546043,21.09647991,561.2310704,561.2310704,
10.0.0.19,10.0.0.43,16,2960,8,1480,8,1480,18.48999314,11.66316661,1015.161696,1015.161696,
10.0.0.19,10.0.0.13,16,2960,8,1480,8,1480,20.71266177,18.83795942,628.5181817,628.5181817,
10.0.0.19,10.0.0.10,16,2960,8,1480,8,1480,21.90397612,12.01972877,985.0471858,985.0471858,
10.0.0.19,10.0.0.44,16,2960,8,1480,8,1480,22.25796082,4.026871166,2940.248027,2940.248027,
10.0.0.19,10.0.0.16,16,2960,8,1480,8,1480,23.36488357,1.16234868,10186.27216,10186.27216,
10.0.0.19,10.0.0.28,16,2960,8,1480,8,1480,23.63776886,2.408090723,4916.758279,4916.758279,
10.0.0.19,10.0.0.47,16,2960,8,1480,8,1480,26.04577132,0.086945893,136176.6449,136176.6449,
10.0.0.19,10.0.0.20,8,1480,4,740,4,740,26.4006227,5.038658176,1174.915978,1174.915978,
10.0.0.19,10.0.0.30,16,2960,8,1480,8,1480,28.67200025,10.53458343,1123.917246,1123.917246,
10.0.0.20,10.0.0.34,16,2960,8,1480,8,1480,5.145469924,10.91574217,1084.67201,1084.67201,
10.0.0.20,10.0.0.31,16,2960,8,1480,8,1480,5.635654245,8.766477789,1350.599441,1350.599441,
10.0.0.20,10.0.0.13,16,2960,8,1480,8,1480,7.894318739,20.85411121,567.7537576,567.7537576,
10.0.0.20,10.0.0.42,16,2960,8,1480,8,1480,8.326776385,24.73063324,478.7584646,478.7584646,
10.0.0.20,10.0.0.15,16,2960,8,1480,8,1480,8.401046003,19.14952416,618.2921259,618.2921259,
10.0.0.20,10.0.0.28,16,2960,8,1480,8,1480,9.757527945,21.40012857,553.267704,553.267704,
10.0.0.20,10.0.0.36,16,2960,8,1480,8,1480,9.944956703,12.89593045,918.1190952,918.1190952,
10.0.0.20,10.0.0.40,16,2960,8,1480,8,1480,11.30862625,23.51486554,503.5112779,503.5112779,
10.0.0.20,10.0.0.41,16,2960,8,1480,8,1480,12.2505073,18.69045724,633.4783492,633.4783492,
10.0.0.20,10.0.0.32,16,2960,8,1480,8,1480,13.44589579,24.67368493,479.8634673,479.8634673,
