Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.34,10.0.0.42,24,4440,12,2220,12,2220,8.008729233,2.304641969,7706.18614,7706.18614
10.0.0.34,10.0.0.24,16,2960,8,1480,8,1480,8.229854633,3.022727797,3916.991802,3916.991802
10.0.0.34,10.0.0.25,16,2960,8,1480,8,1480,8.301143535,0.266270792,44466.01113,44466.01113
10.0.0.34,10.0.0.16,24,4440,12,2220,12,2220,9.039453913,2.756054315,6443.994918,6443.994918
10.0.0.34,10.0.0.13,24,4440,12,2220,12,2220,9.03946034,1.711043816,10379.62899,10379.62899
10.0.0.34,10.0.0.22,16,2960,8,1480,8,1480,9.763192559,2.537410605,4666.174239,4666.174239
10.0.0.34,10.0.0.41,8,1480,4,740,4,740,10.12166434,1.87116043,3163.812095,3163.812095
10.0.0.34,10.0.0.39,8,1480,4,740,4,740,10.18454624,0.517927606,11430.16887,11430.16887
10.0.0.34,10.0.0.29,24,4440,12,2220,12,2220,11.20934557,1.108515435,16021.42779,16021.42779
10.0.0.34,10.0.0.31,24,4440,12,2220,12,2220,11.20935484,1.385207115,12821.18739,12821.18739
10.0.0.34,10.0.0.18,16,2960,8,1480,8,1480,11.45969996,1.176037347,10067.70748,10067.70748
10.0.0.35,10.0.0.26,24,4440,12,2220,12,2220,5.544427789,4.12047943,4310.178051,4310.178051
10.0.0.35,10.0.0.32,24,4440,12,2220,12,2220,5.693293277,5.1435395,3452.875204,3452.875204
10.0.0.35,10.0.0.21,16,2960,8,1480,8,1480,5.693307409,5.212217313,2271.586024,2271.586024
10.0.0.35,10.0.0.48,24,4440,12,2220,12,2220,5.898814887,5.053620564,3514.31212,3514.31212
10.0.0.35,10.0.0.34,8,1480,4,740,4,740,6.078413932,0.683905482,8656.166906,8656.166906
10.0.0.35,10.0.0.24,16,2960,8,1480,8,1480,6.078441639,2.735130439,4328.861187,4328.861187
10.0.0.35,10.0.0.20,16,2960,8,1480,8,1480,6.226890595,3.083162677,3840.212548,3840.212548
10.0.0.35,10.0.0.15,24,4440,12,2220,12,2220,6.988379907,4.35544323,4077.656179,4077.656179
10.0.0.35,10.0.0.14,24,4440,12,2220,12,2220,7.336280951,3.633103271,4888.382926,4888.382926
10.0.0.35,10.0.0.33,24,4440,12,2220,12,2220,7.365233402,2.439694364,7279.600372,7279.600372
10.0.0.35,10.0.0.43,24,4440,12,2220,12,2220,7.573109319,1.326697926,13386.61925,13386.61925
10.0.0.35,10.0.0.45,24,4440,12,2220,12,2220,7.5731138,4.975049882,3569.813453,3569.813453
10.0.0.35,10.0.0.49,24,4440,12,2220,12,2220,7.632612247,1.434141568,12383.71469,12383.71469
10.0.0.35,10.0.0.18,16,2960,8,1480,8,1480,7.737536483,4.857262421,2437.587055,2437.587055
10.0.0.35,10.0.0.37,8,1480,4,740,4,740,8.153512765,0.619151097,9561.478658,9561.478658
10.0.0.35,10.0.0.25,16,2960,8,1480,8,1480,8.505100461,2.103593885,5628.462834,5628.462834
10.0.0.35,10.0.0.41,8,1480,4,740,4,740,8.585824112,1.18369133,5001.303845,5001.303845
10.0.0.35,10.0.0.36,8,1480,4,740,4,740,8.761392536,0.402781355,14697.8005,14697.8005
10.0.0.35,10.0.0.10,24,4440,12,2220,12,2220,9.039433799,2.304382296,7707.054524,7707.054524
